"","frn","cnt_co","cnt_services","cnt_locations","area_sqkm2","states"
"441","0005813316",129,44647,44647,1428.7723,"{01,04,05,06,08,10,12,13,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,34,36,37,39,40,41,42,45,47,48,51,53,54,55,56}"
"442","0005920509",1,9078,9078,121.075078,"{18}"
"443","0006259931",1,3252,1876,89.534429,"{04}"
"444","0006662423",2,2255,2252,324.32376,"{53}"
"445","0006899793",4,3006,3006,930.265887,"{48}"
"446","0007023948",6,4833,4833,3115.084828,"{38}"
"447","0007117237",9,324645,188509,9339.881314,"{41,53}"
"448","0007183619",5,6626,4249,899.340633,"{19}"
"449","0007630791",5,4338,4317,828.540327,"{29}"
"450","0007649882",4,35385,35385,950.827595,"{01}"
"451","0007690258",34,2880,2875,388.952685,"{12,13,17,20}"
"452","0008308405",2,3193,2013,2307.531921,"{30}"
"453","0008437147",11,16746,16746,1709.171,"{29}"
"454","0008460081",18,61424,32899,15299.97799,"{20}"
"455","0009700592",1,16063,10968,64.145259,"{25}"
"456","0010480978",24,206472,206472,998.513724,"{04,08,31}"
"457","0011272671",9,19525,10636,682.263637,"{47}"
"458","0011291671",6,2114,2097,1250.763906,"{37}"
"459","0011394137",2,59,57,69.165123,"{37}"
"460","0011496445",13,46885,31971,8007.103538,"{19}"
"461","0011679826",3,37698,30543,3257.339337,"{06,41}"
"462","0011862927",1,13198,13198,93.114688,"{49}"
"463","0012579652",3,13363,13363,4601.158929,"{08}"
"464","0013350657",5,4346,2429,1241.474414,"{08,31}"
"465","0013906821",10,13175,13074,833.734736,"{13}"
"466","0014024640",5,28134,14409,2509.859815,"{20}"
"467","0014735781",1,6024,6024,339.942638,"{47}"
"468","0015534811",3,1396,1396,64.590273,"{04,06,32}"
"469","0015656606",6,194014,109014,5712.674878,"{16,53}"
"470","0015881154",1,9163,9163,194.631321,"{42}"
"471","0015950934",2,25109,25109,623.297697,"{37}"
"472","0016066870",3,7695,7695,351.825292,"{55}"
"473","0016082927",13,63067,62575,3240.340131,"{17,55}"
"474","0016087876",15,66329,56409,6707.667759,"{19,29}"
"475","0016162216",5,72399,72399,3095.449605,"{41}"
"476","0016179855",24,312287,231531,19133.623747,"{16,30,41}"
"477","0016715682",17,249431,184102,15526.74407,"{48}"
"478","0016753279",2,24839,24839,249.125292,"{25}"
"479","0018092593",44,324391,259050,39517.08916,"{08,30,31,35,56}"
"480","0018209551",2,30381,30381,75.140126,"{08}"
"481","0018473223",9,19965,16473,2407.090658,"{51,54}"
"482","0018549063",3,191011,95490,1616.029897,"{04}"
"483","0018563023",5,39040,35723,6827.699589,"{35}"
"484","0018569533",9,105137,75118,7487.728759,"{48}"
"485","0018590729",8,30215,30215,2727.633701,"{18}"
"486","0019064617",13,7514,7313,6182.369591,"{04,16,41}"
