"brand_name","state_abbr","technology","provider_id","cnt_services","cnt_bcat_locations","count"
"T-Mobile US","NV",71,"130403 ","668286","668286","28274"
"Brown Dog Networks","MO",70,"320018 ","656912","656912","26982"
"Optimum","NJ",50,"130370 ","654126","654126","35234"
"VERIZON","SC",71,"131425 ","650987","618712","79500"
"PenTeleData","PA",40,"131026 ","645929","645929","46886"
"UNITED STATES CELLULAR CORPORATION","MO",71,"131310 ","640531","640531","65042"
"VERIZON","WA",71,"131425 ","637972","618356","72656"
"Verizon","VA",10,"131425 ","636715","636715","53438"
"FRONTIER","CT",50,"130258 ","635496","635496","31265"
"Rise Broadband","UT",70,"140048 ","634959","634959","30634"
"CenturyLink","IA",10,"130228 ","633401","633401","47666"
"Starlink","ME",61,"430076 ","631904","631904","32743"
"HughesNet","ME",60,"130627 ","631740","631740","32664"
"Charter Communications Inc","GA",40,"130235 ","628216","628216","28738"
"Rise Broadband","CO",70,"140048 ","621419","621419","38864"
"TWN Communications","AZ",70,"131016 ","618355","618355","29224"
"Viasat, Inc.","HI",60,"290111 ","616970","308485","10198"
"AT&T Inc","OK",10,"130077 ","614446","614446","57323"
"Cox Communications","NV",40,"130360 ","614384","614384","17976"
"Whittrio, Inc. dba Stimulus Technologies","NV",70,"350116 ","608792","608792","17500"
"CenturyLink","UT",10,"130228 ","604693","604693","34237"
"VERIZON","MN",71,"131425 ","600498","581174","95435"
"UNITED STATES CELLULAR CORPORATION","IL",71,"131310 ","593728","593728","56034"
"VERIZON","NJ",71,"131425 ","593449","562759","78638"
"AT&T Inc","MS",10,"130077 ","582151","582151","51354"
"Breezeline","OH",40,"280001 ","579015","579015","19894"
"Xfinity","CT",40,"130317 ","578737","578737","23068"
"CenturyLink","NM",10,"130228 ","574250","574250","36833"
"UNITED STATES CELLULAR CORPORATION","NE",71,"131310 ","571426","571426","64841"
"Viasat, Inc.","VT",60,"290111 ","570622","285311","19143"
"Aeronet Wireless Broadband LLC","PR",70,"370151 ","568939","568939","25512"
"T-Mobile US","NE",71,"130403 ","567825","567825","71969"
"VERIZON","MO",71,"131425 ","562274","545359","103677"
"Metronet Holdings","IN",50,"131081 ","547766","273883","14083"
"AT&T Inc","OH",50,"130077 ","545254","545254","23772"
"Cal.net","CA",72,"270020 ","533814","533814","25116"
"VERIZON","AL",71,"131425 ","533009","516539","92616"
"Agile Networks","OH",70,"130254 ","531495","531495","37919"
"AT&T Inc","MI",50,"130077 ","528180","528180","23663"
"Viasat, Inc.","WY",60,"290111 ","525996","262998","27857"
"Aeronet Wireless Broadband","PR",71,"370151 ","525784","525784","21542"
"Bertram Internet","WI",70,"260003 ","525106","525106","37790"
"AT&T Inc","KS",10,"130077 ","524289","524289","45500"
"HughesNet","NH",60,"130627 ","518344","518344","26822"
"VERIZON","WI",71,"131425 ","517878","502022","83661"
"unWired Broadband","CA",72,"460087 ","515270","515270","24047"
"Starlink","NH",61,"430076 ","513144","513144","26527"
"Mercury Broadband","MI",71,"190236 ","505628","505628","35701"
"AT&T Inc","IL",50,"130077 ","505491","505491","34086"
"T-Mobile US","WV",71,"130403 ","496771","496771","41080"
"Stratus Networks, Inc.","IL",50,"300150 ","495689","495689","34498"
"Charter Communications Inc","IN",40,"130235 ","493496","493496","27048"
"Starlink","MT",61,"430076 ","488036","488036","52574"
"Astound_Broadband","IL",40,"130079 ","482168","482168","28448"
"UNITED STATES CELLULAR CORPORATION","TN",71,"131310 ","480060","480060","28974"
"Verizon","MD",10,"131425 ","479267","479267","39171"
"AT&T Inc","AL",50,"130077 ","476847","476847","26141"
"DigitalPath, Inc.","CA",71,"190123 ","471934","471934","27887"
"Resound Networks","TX",70,"340061 ","471055","471055","41186"
"VERIZON","CO",71,"131425 ","468120","450816","60220"
"AT&T Inc","KY",10,"130077 ","466723","466723","31984"
"T-Mobile US","ME",71,"130403 ","455624","455624","27938"
"Triad Wireless LLC","AZ",71,"350105 ","454693","454693","25506"
"Ultimate Internet Access, Inc","CA",70,"340076 ","450048","450048","16071"
"AT&T Inc","AR",10,"130077 ","448261","448261","35007"
"Windstream Kentucky East, LLC","KY",10,"131413 ","446260","446260","26594"
"AT&T Inc","LA",50,"130077 ","444787","444787","20810"
"CenturyLink","NV",10,"130228 ","444698","444698","15731"
"Xfinity","NM",40,"130317 ","443821","443821","22746"
"AT&T Inc","MO",50,"130077 ","443800","443800","19512"
"Brightspeed","OH",10,"470022 ","443395","443395","35472"
"Charter Communications Inc","ME",40,"130235 ","441578","441578","21548"
"VERIZON","OK",71,"131425 ","440814","428141","67032"
"Cox Communications","KS",40,"130360 ","427810","427810","27101"
"AT&T Inc","IN",50,"130077 ","427146","427146","21395"
"Bluespan","AZ",70,"300019 ","424662","424662","16107"
"Ziply Fiber","WA",10,"420173 ","422621","422621","21754"
"Everstream","MI",50,"330025 ","421369","421369","29718"
"Sparklight","ID",40,"130183 ","419972","419972","21890"
"Rise Broadband","IL",70,"140048 ","411282","411282","49751"
"StarTouch","WA",70,"320112 ","406777","406777","22766"
"Starlink","DE",61,"430076 ","401519","401519","16376"
"HughesNet","DE",60,"130627 ","401513","401513","16374"
"VERIZON","KY",71,"131425 ","400046","384726","53699"
"Starlink","SD",61,"430076 ","399171","399171","51945"
"HughesNet","SD",60,"130627 ","399171","399171","51945"
"UNITED STATES CELLULAR CORPORATION","OR",71,"131310 ","398366","398366","27903"
"Astound_Broadband","TX",40,"130079 ","397879","397879","19762"
"UNITED STATES CELLULAR CORPORATION","ME",71,"131310 ","397371","397371","25487"
"T-Mobile US","NH",71,"130403 ","396387","396387","23619"
"VERIZON","LA",71,"131425 ","396250","384032","63908"
"FRONTIER","IL",10,"130258 ","395377","395377","55073"
"Preferred Networks Inc.","NV",70,"420058 ","389036","194518","8532"
"Charter Communications Inc","MN",40,"130235 ","387874","387874","21501"
"Neptuno Media","PR",70,"150290 ","385899","385899","23346"
"Mediacom_Illinois_LLC","IL",40,"130804 ","384653","384653","34648"
"T-Mobile US","ID",71,"130403 ","378817","378817","32138"
"Midco","SD",40,"130821 ","375232","187616","12159"
"CenturyLink","ID",10,"130228 ","373786","373786","26352"
"Internet Services, LLC","NM",70,"320055 ","373492","373492","18344"
"VERIZON","UT",71,"131425 ","371648","356308","35354"
"Choice Wireless","NM",71,"130081 ","371473","371473","21700"
"Metronet Holdings","IL",50,"131081 ","370896","185448","9159"
"VERIZON","OR",71,"131425 ","370689","358002","50189"
"Claro","PR",50,"170001 ","370629","370629","15203"
"Ethoplex","WI",70,"360104 ","363509","363509","21872"
"T-Mobile US","NM",71,"130403 ","361046","361046","29640"
"W A T C H TV","OH",71,"130116 ","360591","360591","30565"
"Rise Broadband","ID",70,"140048 ","356485","356485","23594"
"Xfinity","MS",40,"130317 ","351685","351685","17646"
"Midco","ND",40,"130821 ","350082","175041","13566"
"Viasat, Inc.","ND",60,"290111 ","349262","174631","24920"
"Starlink","ND",61,"430076 ","348657","348657","55829"
"HughesNet","ND",60,"130627 ","348263","348263","55767"
"VERIZON","KS",71,"131425 ","347380","332662","74635"
"Midco","MN",71,"130821 ","345836","172918","26780"
"Preferred Networks Inc.","NV",10,"420058 ","343024","171512","6802"
"InNet Connections","PR",70,"430199 ","341073","341073","11295"
"Aeronet Wireless Broadband","PR",72,"370151 ","340585","340585","12060"
"Simply Bits","AZ",70,"131191 ","339187","339187","12618"
"HughesNet","RI",60,"130627 ","339030","339030","22322"
"Starlink","RI",61,"430076 ","339030","339030","22322"
"UNITED STATES CELLULAR CORPORATION","VA",71,"131310 ","337158","337158","22260"
"infinaSky","VA",70,"390100 ","335423","335423","16243"
"AT&T Inc","SC",50,"130077 ","335115","335115","15796"
"Xfinity","AL",40,"130317 ","335013","335013","19833"
"Charter Communications Inc","OR",40,"130235 ","333872","333872","19174"
"VERIZON","VA",71,"131425 ","332679","323339","69288"
"VERIZON","MA",71,"131425 ","332570","315410","54357"
"Cox Communications","RI",40,"130360 ","330076","330076","21815"
"Xfinity","NH",40,"130317 ","327378","327378","15967"
"WOW Internet, Cable & Phone","FL",40,"131480 ","325185","325185","17099"
"Google Fiber","TX",50,"240041 ","321332","321332","10816"
"Viasat, Inc.","AK",60,"290111 ","320980","160490","6445"
"UNITED STATES CELLULAR CORPORATION","WA",71,"131310 ","317627","317627","21459"
"AT&T Inc","OK",50,"130077 ","316649","316649","14338"
"Xfinity","DE",40,"130317 ","316196","316196","13168"
"NMSurf","NM",70,"360105 ","313883","313883","14980"
"Wisper ISP, LLC","MO",72,"430176 ","312278","312278","37062"
"Carolina West Wireless","NC",71,"130926 ","311402","311402","17665"
"W A T C H TV","IN",70,"130116 ","310983","310983","30792"
"Starlink","HI",61,"430076 ","308911","308911","10196"
"HughesNet","HI",60,"130627 ","308870","308870","10202"
"UNITED STATES CELLULAR CORPORATION","KS",71,"131310 ","306545","306545","45549"
"Bug Tussel Wireless LLC","WI",71,"300025 ","304680","304680","29079"
"OpenBroadband LLC","NC",70,"390082 ","302998","302998","18568"
"T-Mobile US","DE",71,"130403 ","302910","302910","14298"
"Mercury Broadband","IN",71,"190236 ","298599","298599","23524"
"Cal.net","CA",70,"270020 ","298448","298448","17436"
"Bug Tussel Wireless LLC","WI",72,"300025 ","297179","297179","26482"
"VERIZON","AR",71,"131425 ","296138","284579","61024"
"Windstream Georgia Communications, LLC","GA",10,"131413 ","295659","295659","22130"
"VERIZON","IA",71,"131425 ","295280","288740","79895"
"UNITED STATES CELLULAR CORPORATION","WV",71,"131310 ","294523","294523","20046"
"Metronet Holdings","IA",50,"131081 ","293112","146556","8312"
"Charter Communications Inc","HI",40,"130235 ","292228","292228","8856"
"AT&T Inc","KY",50,"130077 ","289466","289466","12130"
"Cox Communications","FL",40,"130360 ","287164","287164","13238"
"HughesNet","VT",60,"130627 ","285305","285305","19143"
"Starlink","VT",61,"430076 ","285261","285261","19142"
"Charter Communications Inc","MA",40,"130235 ","284843","284843","13997"
"W A T C H TV","IN",71,"130116 ","283700","283700","23845"
"Starlink","AK",61,"430076 ","281308","281308","13510"
"Brightspeed","TX",10,"470022 ","280354","280354","20752"
"Optimum","WV",40,"130370 ","279437","279437","18029"
"HughesNet","AK",60,"130627 ","278698","278698","13381"
"altafiber Network Solutions","KY",50,"130254 ","278014","139007","5439"
"Consolidated Communications","ME",10,"130335 ","277943","277820","19282"
"CenturyLink","MT",10,"130228 ","274607","274607","23134"
"Kellin Communications","CO",70,"300078 ","274281","274281","14338"
"Midco","MN",40,"130821 ","273910","136955","9170"
"Ziply Fiber","WA",50,"420173 ","273772","273772","11706"
"Astound_Broadband","CA",40,"130079 ","273729","273729","9870"
"VTel Wireless, Inc.","VT",71,"460632 ","268477","268477","18716"
