"geoid_bl","tot_loc","cnt_ms"
"500019602002075",NULL,"0"
"500019602002076",16,"32"
"500019602002077",21,"55"
"500019602002078",NULL,"0"
"500019602002079",NULL,"0"
"500019602002080",13,"25"
"500019602002081",15,"25"
"500019602002082",NULL,"0"
"500019602002083",20,"29"
"500019602002084",18,"36"
"500019602002085",4,"8"
"500019603001000",18,"24"
"500019603001001",17,"22"
"500019603001002",4,"8"
"500019603001003",15,"18"
"500019603001004",19,"22"
"500019603001005",1,"2"
"500019603001006",52,"64"
"500019603001007",31,"30"
"500019603001008",33,"38"
"500019603001009",11,"12"
"500019603001010",19,"33"
"500019603001011",49,"61"
"500019603001012",8,"12"
"500019603001013",4,"6"
"500019603001014",7,"5"
"500019603001015",NULL,"0"
"500019603002000",6,"8"
"500019603002001",1,"2"
"500019603002002",1,"1"
"500019603002003",28,"36"
"500019603002004",10,"12"
"500019603002005",6,"12"
"500019603002006",4,"4"
"500019603002007",66,"82"
"500019603002008",16,"17"
"500019603002009",11,"9"
"500019603002010",33,"37"
"500019603002011",17,"22"
"500019603002012",45,"47"
"500019603002013",97,"101"
"500019603002014",10,"10"
"500019603002015",8,"8"
"500019603002016",12,"13"
"500019603002017",11,"10"
"500019603002018",20,"25"
"500019603002019",14,"18"
"500019603002020",16,"20"
"500019603002021",12,"11"
"500019603002022",5,"6"
"500019603002023",8,"5"
"500019603002024",9,"8"
"500019603002025",27,"29"
"500019603002026",16,"16"
"500019603002027",NULL,"0"
"500019603002028",74,"58"
"500019603002029",17,"18"
"500019603002030",34,"33"
"500019603002031",29,"29"
"500019603002032",27,"29"
"500019603002033",6,"8"
"500019604001000",7,"9"
"500019604001001",6,"6"
"500019604001002",1,"2"
"500019604001003",5,"11"
"500019604001004",5,"6"
"500019604001005",4,"6"
"500019604001006",1,"4"
"500019604001007",NULL,"0"
"500019604001008",15,"29"
"500019604001009",NULL,"0"
"500019604001010",8,"12"
"500019604001011",NULL,"0"
"500019604001012",7,"10"
"500019604001013",23,"41"
"500019604001014",NULL,"1"
"500019604001015",1,"3"
"500019604001016",4,"4"
"500019604001017",NULL,"0"
"500019604001018",8,"11"
"500019604001019",NULL,"0"
"500019604001020",NULL,"0"
"500019604001021",7,"11"
"500019604001022",1,"2"
"500019604001023",10,"21"
"500019604001024",NULL,"0"
"500019604001025",NULL,"0"
"500019604001026",11,"31"
"500019604001027",3,"5"
"500019604001028",NULL,"0"
"500019604001029",13,"20"
"500019604001030",5,"8"
"500019604001031",NULL,"0"
"500019604001032",30,"49"
"500019604001033",2,"3"
"500019604001034",8,"11"
"500019604001035",10,"18"
"500019604001036",6,"7"
"500019604001037",27,"45"
"500019604001038",31,"55"
"500019604001039",NULL,"0"
"500019604001040",2,"2"
"500019604001041",6,"10"
"500019604001042",NULL,"0"
"500019604001043",1,"2"
"500019604001044",4,"6"
"500019604001045",7,"11"
"500019604001046",NULL,"0"
"500019604001047",5,"13"
"500019604001048",5,"10"
"500019604001049",NULL,"0"
"500019604001050",1,"2"
"500019604001051",3,"4"
"500019604001052",13,"22"
"500019604001053",11,"17"
"500019604001054",89,"133"
"500019604001055",4,"7"
"500019604001056",31,"63"
"500019604001057",3,"5"
"500019604001058",31,"50"
"500019604001059",3,"6"
"500019604001060",NULL,"0"
"500019604001061",7,"11"
"500019604001062",NULL,"0"
"500019604001063",2,"3"
"500019604001064",NULL,"0"
"500019604001065",2,"3"
"500019604001066",NULL,"0"
"500019604001067",NULL,"2"
"500019604001068",1,"1"
"500019604001069",7,"10"
"500019604001070",6,"16"
"500019604001071",26,"44"
"500019604001072",5,"10"
"500019604001073",NULL,"0"
"500019604001074",41,"66"
"500019604001075",6,"13"
"500019604001076",4,"4"
"500019604001077",5,"8"
"500019604001078",17,"39"
"500019604001079",24,"56"
"500019604001080",3,"5"
"500019604001081",NULL,"0"
"500019604001082",NULL,"0"
"500019604001083",7,"11"
"500019604001084",13,"18"
"500019604001085",5,"6"
"500019604001086",NULL,"0"
"500019604001087",NULL,"0"
"500019604001088",2,"5"
"500019604001089",7,"10"
"500019604001090",3,"5"
"500019604001091",1,"2"
"500019604001092",NULL,"0"
"500019604001093",21,"40"
"500019604001094",NULL,"0"
"500019604001095",3,"6"
"500019604001096",NULL,"0"
"500019604001097",NULL,"0"
"500019604001098",31,"36"
"500019604001099",12,"30"
"500019604001100",1,"3"
"500019604001101",1,"5"
"500019604001102",7,"18"
"500019604001103",NULL,"2"
"500019604001104",2,"5"
"500019604001105",NULL,"0"
"500019604001106",NULL,"0"
"500019604001107",2,"2"
"500019604001108",NULL,"0"
"500019604001109",1,"2"
"500019604001110",4,"5"
"500019604001111",1,"0"
"500019604001112",1,"4"
"500019604001113",5,"7"
"500019604001114",NULL,"0"
"500019604001115",6,"13"
"500019604001116",7,"12"
"500019604001117",NULL,"0"
"500019604001118",16,"24"
"500019604001119",11,"8"
"500019604001120",12,"19"
"500019604001121",NULL,"0"
"500019604001122",1,"2"
"500019604001123",25,"50"
"500019604001124",NULL,"0"
"500019604001125",NULL,"0"
"500019604001126",4,"6"
"500019604001127",4,"4"
"500019604001128",1,"2"
"500019604001129",NULL,"0"
"500019604001130",9,"16"
"500019604001131",NULL,"0"
"500019604002000",1,"3"
"500019604002001",11,"14"
"500019604002002",35,"58"
"500019604002003",30,"54"
"500019604002004",NULL,"0"
"500019604002005",NULL,"0"
"500019604002006",60,"94"
"500019604002007",18,"35"
"500019604002008",7,"7"
"500019604002009",39,"74"
"500019604002010",9,"22"
"500019604002011",NULL,"0"
"500019604002012",NULL,"0"
"500019604002013",13,"20"
"500019604002014",30,"41"
"500019604002015",45,"77"
"500019604002016",NULL,"0"
"500019604002017",19,"36"
"500019604002018",NULL,"0"
"500019604002019",NULL,"0"
"500019604002020",1,"1"
"500019604002021",NULL,"0"
"500019604002022",NULL,"0"
"500019604002023",NULL,"0"
"500019604002024",5,"8"
"500019604002025",20,"35"
"500019604002026",NULL,"0"
"500019604002027",NULL,"0"
"500019604002028",NULL,"0"
"500019604002029",NULL,"0"
"500019604002030",6,"15"
"500019604002031",1,"2"
"500019604002032",11,"19"
"500019604002033",1,"3"
"500019604002034",20,"35"
"500019604002035",36,"41"
"500019604002036",NULL,"2"
"500019604002037",18,"31"
"500019604002038",2,"3"
"500019604002039",1,"3"
"500019604002040",7,"12"
"500019604002041",NULL,"0"
"500019604002042",2,"5"
"500019604002043",19,"38"
"500019604002044",6,"13"
"500019604002045",3,"7"
"500019604002046",2,"2"
"500019604002047",1,"3"
"500019604002048",13,"21"
"500019604002049",28,"48"
"500019604002050",20,"40"
"500019604002051",NULL,"0"
"500019604002052",9,"15"
"500019604003000",NULL,"0"
"500019604003001",1,"5"
"500019604003002",4,"8"
"500019604003003",16,"22"
"500019604003004",NULL,"0"
"500019604003005",11,"20"
"500019604003006",11,"19"
"500019604003007",NULL,"0"
"500019604003008",NULL,"0"
"500019604003009",NULL,"0"
"500019604003010",NULL,"0"
"500019604003011",6,"14"
"500019604003012",1,"0"
"500019604003013",14,"23"
"500019604003014",15,"30"
"500019604003015",15,"26"
"500019604003016",12,"37"
"500019604003017",1,"1"
"500019604003018",19,"39"
"500019604003019",NULL,"0"
"500019604003020",36,"54"
"500019604003021",NULL,"0"
"500019604003022",26,"48"
"500019604003023",2,"5"
"500019604003024",11,"20"
"500019604003025",NULL,"0"
"500019604003026",19,"44"
"500019604003027",NULL,"0"
"500019604003028",NULL,"0"
"500019604003029",9,"25"
"500019604003030",NULL,"0"
"500019604003031",1,"1"
"500019604003032",3,"14"
"500019604003033",NULL,"0"
"500019604003034",3,"7"
"500019604003035",1,"1"
"500019604003036",5,"11"
"500019604003037",9,"31"
"500019604003038",7,"10"
