"state_abbr","brand_name","technology","count"
"AR","Aristotle Unified Communications",50,"205"
"AR","Aristotle Unified Communications",72,"82786"
"CA","Aristotle Unified Communications",72,"1"
"IN","Aristotle Unified Communications",72,"1"
"LA","Aristotle Unified Communications",72,"1"
"MI","Aristotle Unified Communications",72,"1"
"MO","Aristotle Unified Communications",72,"393"
"MS","Aristotle Unified Communications",72,"17"
"NC","Aristotle Unified Communications",72,"1"
"OH","Aristotle Unified Communications",72,"1"
"OK","Aristotle Unified Communications",72,"1634"
"OR","Aristotle Unified Communications",72,"2"
"TX","Aristotle Unified Communications",72,"1"
"VA","Aristotle Unified Communications",72,"1"
"WI","Aristotle Unified Communications",72,"1"
"AZ","Arizona Network LLC",70,"12094"
"AR","Arkansas Rural Internet Services, LLC",50,"6460"
"AR","ArkLaNet",70,"2718"
"LA","ArkLaNet",70,"54176"
"MS","ArkLaNet",70,"90"
"AR","Arkwest Communications, Inc.",50,"6146"
"NY","Armstrong Telecommunications Inc",50,"38685"
"PA","Armstrong Telecommunications Inc",50,"1926"
"MD","Armstrong Telephone Company - MD",10,"6919"
"WV","Armstrong Telephone Company - ND",10,"2398"
"WV","Armstrong Telephone Company - ND",50,"5664"
"PA","Armstrong Telephone Company - NO",10,"512"
"NY","Armstrong Telephone Company - NY",50,"3751"
"PA","Armstrong Telephone Company - NY",50,"2"
"PA","Armstrong Telephone Company - PA",10,"2272"
"PA","Armstrong Telephone Company - PA",50,"75"
"WV","Armstrong Telephone Company - WV",10,"3098"
"KY","ArmstrongUtilitiesInc",40,"8809"
"KY","ArmstrongUtilitiesInc",50,"23"
"MD","ArmstrongUtilitiesInc",40,"23188"
"MD","ArmstrongUtilitiesInc",50,"135"
"NY","ArmstrongUtilitiesInc",50,"18"
"OH","ArmstrongUtilitiesInc",40,"114524"
"OH","ArmstrongUtilitiesInc",50,"29259"
"PA","ArmstrongUtilitiesInc",40,"197402"
"PA","ArmstrongUtilitiesInc",50,"26556"
"WV","ArmstrongUtilitiesInc",40,"15590"
"WV","ArmstrongUtilitiesInc",50,"1651"
"ME","Aroostook Technologies Inc.",70,"17376"
"MN","ARROWHEAD",10,"733"
"MN","ARROWHEAD",50,"238"
"AR","Arrowhead Broadband",40,"2970"
"AR","Arrowhead Broadband",50,"3889"
"MO","Arrowhead Broadband",50,"161"
"AR","ARTELCO",10,"6380"
"AR","ARTELCO",50,"2520"
"OH","Arthur Mutual Telephone",50,"2293"
"OH","Arx Web",70,"1599"
"WV","Arx Web",70,"19612"
"MI","Aspire Networks",50,"4009"
"PA","Astound Broadband",40,"74695"
"PA","Astound Broadband",50,"911"
"CA","Astound_Broadband",10,"1106"
"CA","Astound_Broadband",40,"273729"
"CA","Astound_Broadband",50,"26951"
"DC","Astound_Broadband",40,"86817"
"DC","Astound_Broadband",50,"1238"
"IL","Astound_Broadband",40,"482168"
"IL","Astound_Broadband",50,"74258"
"IN","Astound_Broadband",40,"106854"
"IN","Astound_Broadband",50,"11264"
"MA","Astound_Broadband",40,"245603"
"MA","Astound_Broadband",50,"6528"
"MD","Astound_Broadband",40,"130741"
"MD","Astound_Broadband",50,"3387"
"NJ","Astound_Broadband",40,"8"
"NJ","Astound_Broadband",50,"20"
"NY","Astound_Broadband",40,"62866"
"NY","Astound_Broadband",50,"10269"
"OR","Astound_Broadband",10,"889"
"OR","Astound_Broadband",40,"67591"
"OR","Astound_Broadband",50,"6764"
"PA","Astound_Broadband",40,"191672"
"PA","Astound_Broadband",50,"23850"
"TX","Astound_Broadband",40,"397879"
"TX","Astound_Broadband",50,"89835"
"VA","Astound_Broadband",40,"5126"
"VA","Astound_Broadband",50,"15"
"WA","Astound_Broadband",10,"6384"
"WA","Astound_Broadband",40,"183440"
"WA","Astound_Broadband",50,"20960"
"MI","Astrea",40,"9286"
"WI","Astrea",40,"19923"
"WI","Astrea",50,"3339"
